,ID,Date,Block,Primary Type,Description,Location Description,Arrest,District,Ward,Community Area,Year,Updated On,Location,Census Tracts,Wards
260316,11334776,06/01/2018 09:00:00 AM,079XX S ESSEX AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,4.0,7.0,46.0,2018.0,06/08/2018 03:51:14 PM,"(41.751026245, -87.563796601)",478.0,37.0
12205,11684629,05/12/2019 02:44:00 PM,066XX S ASHLAND AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,7.0,15.0,67.0,2019.0,05/19/2019 04:04:45 PM,"(41.773556277, -87.664056445)",284.0,2.0
248553,11349572,06/16/2018 02:05:00 AM,071XX S STEWART AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,7.0,6.0,68.0,2018.0,06/23/2018 03:54:12 PM,"(41.764478693, -87.63464728)",511.0,32.0
345300,11219357,01/31/2018 08:30:00 AM,002XX W 107TH PL,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,5.0,34.0,49.0,2018.0,05/04/2018 03:51:04 PM,"(41.698889033, -87.629158341)",524.0,22.0
666682,10750515,11/12/2016 11:00:00 AM,072XX S UNIVERSITY AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,3.0,5.0,69.0,2016.0,02/10/2018 03:50:01 PM,"(41.763357176, -87.597000911)",121.0,33.0
660979,10759016,11/20/2016 07:00:00 AM,021XX W WASHINGTON BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,12.0,2.0,28.0,2016.0,02/10/2018 03:50:01 PM,"(41.883094432, -87.679891391)",37.0,46.0
217713,11390105,07/24/2018 12:15:00 AM,061XX S ASHLAND AVE,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,False,7.0,15.0,67.0,2018.0,07/31/2018 03:50:48 PM,"(41.782432685, -87.664290466)",277.0,2.0
720334,10668210,09/03/2016 05:20:00 PM,021XX W 21ST PL,THEFT,$500 AND UNDER,STREET,False,12.0,25.0,31.0,2016.0,02/10/2018 03:50:01 PM,"(41.853044994, -87.679430193)",4.0,26.0
468903,11051496,08/11/2017 08:14:00 PM,048XX S WOOD ST,NARCOTICS,POSS: COCAINE,RESIDENCE,True,9.0,20.0,61.0,2017.0,02/10/2018 03:50:01 PM,"(41.805930802, -87.669760557)",740.0,3.0
475283,11042208,08/04/2017 01:30:00 AM,0000X W ILLINOIS ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ALLEY,False,18.0,42.0,8.0,2017.0,02/10/2018 03:50:01 PM,"(41.890845813, -87.629103359)",669.0,36.0
227883,11376652,07/11/2018 09:00:00 AM,051XX N OAKLEY AVE,SEX OFFENSE,PUBLIC INDECENCY,STREET,False,20.0,47.0,4.0,2018.0,07/18/2018 03:56:28 PM,"(41.974551194, -87.686683808)",54.0,24.0
423852,11113753,10/09/2017 07:54:00 PM,014XX S CALIFORNIA BLVD,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,10.0,24.0,29.0,2017.0,02/10/2018 03:50:01 PM,"(41.861967909, -87.695774598)",132.0,14.0
28026,11660664,04/20/2019 01:18:00 AM,078XX S CARPENTER ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,6.0,17.0,71.0,2019.0,04/27/2019 04:07:28 PM,"(41.751898652, -87.650135449)",487.0,31.0
571138,10903245,04/01/2017 12:00:00 PM,112XX S EDBROOKE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,5.0,9.0,49.0,2017.0,02/10/2018 03:50:01 PM,"(41.690045239, -87.619563452)",253.0,43.0
144379,11488939,10/26/2018 10:35:00 PM,032XX N ELSTON AVE,BATTERY,SIMPLE,PARK PROPERTY,False,17.0,33.0,21.0,2018.0,11/02/2018 04:18:21 PM,"(41.940456571, -87.699874463)",425.0,20.0
47927,11631351,03/21/2019 02:30:00 PM,081XX S DREXEL AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,True,6.0,8.0,44.0,2019.0,03/29/2019 04:05:05 PM,"(41.746784577, -87.602624733)",247.0,35.0
432115,11108233,09/28/2017 08:00:00 PM,002XX E 32ND ST,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,RESIDENCE,False,2.0,3.0,35.0,2017.0,02/10/2018 03:50:01 PM,"(41.836559146, -87.620223934)",25.0,10.0
139869,11494877,11/01/2018 05:23:00 PM,052XX W WASHINGTON BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,15.0,28.0,25.0,2018.0,11/08/2018 04:17:57 PM,"(41.882363356, -87.755443834)",674.0,23.0
255164,11341069,06/07/2018 03:30:00 PM,053XX N SHERIDAN RD,THEFT,POCKET-PICKING,CTA BUS STOP,False,20.0,48.0,77.0,2018.0,06/14/2018 04:02:30 PM,"(41.978934981, -87.655047462)",93.0,16.0
202943,11410446,08/11/2018 12:15:00 AM,012XX W 74TH ST,THEFT,$500 AND UNDER,STREET,False,7.0,17.0,67.0,2018.0,08/18/2018 03:57:27 PM,"(41.759564326, -87.655837845)",408.0,31.0
428034,11108274,10/04/2017 04:50:00 AM,006XX W PATTERSON AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,19.0,46.0,6.0,2017.0,02/10/2018 03:50:01 PM,"(41.948677486, -87.646755398)",726.0,39.0
645251,10782977,12/13/2016 03:22:00 PM,010XX N MARSHFIELD AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,12.0,1.0,24.0,2016.0,02/10/2018 03:50:01 PM,"(41.901377979, -87.66866304)",518.0,41.0
